City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,laminusa,5.5549,120.9136,28.43,74,100,3.46,PH,1735531322
304,kuqa,41.7278,82.9364,-9.91,76,100,0.38,CN,1735531323
305,robinson,31.4677,-97.1147,14.35,94,0,4.63,US,1735531324
306,san andres,12.5847,-81.7006,28.01,78,20,1.54,CO,1735531212
307,jala,21.0833,-104.4333,13.83,68,0,0.29,MX,1735531327
308,arar,30.9753,41.0381,5.01,45,0,0.0,SA,1735531328
309,phan rang-thap cham,11.5667,108.9833,27.3,67,93,4.35,VN,1735531329
310,codrington,-38.2667,141.9667,22.66,59,100,9.21,AU,1735531331
311,kwadukuza,-29.3282,31.2895,23.05,90,2,1.33,ZA,1735531332
312,xining,36.6167,101.7667,-6.95,68,64,1.24,CN,1735531333
313,mabamba,-3.5983,30.5019,17.06,83,84,0.72,TZ,1735531334
314,new plymouth,-39.0667,174.0833,19.06,100,0,8.92,NZ,1735531336
315,atbasar,51.8,68.3333,-19.53,100,99,2.07,KZ,1735531338
316,new norfolk,-42.7826,147.0587,23.17,50,100,3.77,AU,1735531341
317,plastun,44.7561,136.2939,-7.95,40,100,0.42,RU,1735531342
318,dwarka,22.2394,68.9678,20.92,50,0,5.27,IN,1735531343
319,al ghayzah,16.2079,52.176,20.52,69,25,2.48,YE,1735531344
320,gobabis,-22.45,18.9667,23.22,57,100,1.38,NA,1735531346
321,sitka,57.0531,-135.33,1.01,88,20,1.71,US,1735531347
322,sarykemer,43.0,71.5,1.71,67,100,2.38,KZ,1735531348
323,urangan,-25.3,152.9,26.63,68,44,3.57,AU,1735531349
324,punata,-17.55,-65.8333,15.63,67,100,0.58,BO,1735531351
325,fagaras,45.85,24.9667,0.55,79,14,0.9,RO,1735531353
326,kyabe,9.4515,18.9449,24.19,24,9,3.38,TD,1735531354
327,arkhangel'sk,64.5401,40.5433,2.06,93,100,5.0,RU,1735531356
328,vicuna mackenna,-33.9197,-64.3922,19.64,56,100,3.4,AR,1735531357
329,berdigestyakh,62.0989,126.6992,-40.88,100,79,1.02,RU,1735531358
330,anuradhapura,8.3565,80.4173,27.24,78,65,3.81,LK,1735531359
331,gorontalo,0.5412,123.0595,32.92,55,52,2.25,ID,1735531360
332,lionel town,17.8101,-77.2406,23.38,92,85,1.9,JM,1735531362
333,pamandzi,-12.7967,45.2794,27.88,83,40,2.57,YT,1735531363
334,kargopol',61.5071,38.9456,1.68,93,100,4.55,RU,1735531364
335,rio grande,-32.035,-52.0986,20.41,67,33,4.35,BR,1735531365
336,novodvinsk,64.4165,40.8122,1.86,82,99,4.73,RU,1735531367
337,taulaga,-11.0553,-171.0883,28.74,65,94,0.99,AS,1735531368
338,fada,7.25,4.0667,21.11,96,59,0.89,NG,1735531369
339,sao tome,0.3365,6.7273,26.75,83,100,3.53,ST,1735531370
340,cidreira,-30.1811,-50.2056,21.02,82,100,4.43,BR,1735531371
341,vilyuysk,63.7553,121.6247,-37.83,99,98,1.65,RU,1735531373
342,rongelap,11.1635,166.8941,27.49,72,94,9.07,MH,1735531374
343,kenora,49.8167,-94.4337,-3.46,100,100,3.09,CA,1735531375
344,kargasok,59.0556,80.8572,-8.71,94,98,4.43,RU,1735531376
345,kone,-21.0595,164.8658,28.66,50,64,4.52,NC,1735531378
346,madison heights,42.4859,-83.1052,6.61,94,100,6.69,US,1735531379
347,sultanah,24.4926,39.5857,15.25,18,0,0.0,SA,1735531380
348,porto velho,-8.7619,-63.9039,24.03,94,75,1.54,BR,1735531214
349,naze,28.3667,129.4833,17.51,58,57,1.46,JP,1735531383
350,posse,-14.0931,-46.3694,20.51,87,98,1.8,BR,1735531384
351,queenstown,-31.8976,26.8753,19.92,83,34,0.44,ZA,1735531385
352,nagqu,31.5,92.0,-8.03,27,56,3.3,CN,1735531386
353,dawson creek,55.7666,-120.2362,-11.2,85,100,5.66,CA,1735531388
354,canutama,-6.5339,-64.3831,22.92,96,82,0.79,BR,1735531369
355,fort-shevchenko,44.5086,50.263,2.99,78,100,4.16,KZ,1735531390
356,vanimo,-2.6741,141.3028,30.17,70,99,2.22,PG,1735531391
357,ladysmith,48.9829,-123.8194,5.51,98,20,1.03,CA,1735531392
358,hollymead,38.1171,-78.4417,14.42,89,100,5.14,US,1735531394
359,kuanda,56.3161,116.0806,-18.85,96,100,0.1,RU,1735531395
